Nr,Y,X,Z,Code
11084040,2629290.590,1241230.208,427.584,100
6005014,2629554.320,1241381.802,426.900,100
629535241119,2629536.175,1241119.718,427.243,100
629761241132,2629761.885,1241132.931,427.379,100
6005499,2629768.787,1241131.187,427.195,100
6005443,2629930.448,1241119.453,426.856,100
6005522,2629956.241,1241333.694,426.215,100
6005087,2630170.828,1241105.222,426.265,100
630161240908,2630162.461,1240909.093,426.965,100
6005216,2630160.279,1240906.562,426.968,100
6005213,2629918.719,1240917.692,427.798,100
6005422,2629741.523,1240946.410,427.049,100
629746240945,2629746.978,1240945.982,427.013,100
6005034,2629496.541,1240891.181,427.969,100
629504240890,2629504.882,1240890.869,428.115,100
6005390,2629487.426,1240668.716,428.712,100
629521240638,2629522.494,1240638.963,429.889,100
6005346,2629701.142,1240702.788,435.159,100
629845240698,2629845.826,1240698.422,434.776,100
6005516,2629853.744,1240696.623,434.853,100
6005035,2629990.967,1240585.911,437.502,100
630087240509,2630087.763,1240509.542,439.805,100
6005067,2630082.661,1240498.130,439.535,100
629724240458,2629725.174,1240458.597,434.480,100
629682240500,2629682.922,1240500.370,434.469,100
629484240535,2629485.134,1240535.758,432.512,100
629474240533,2629475.206,1240533.568,432.612,100
629472240522,2629472.966,1240523.008,432.631,100
6005391,2629325.189,1240515.177,430.127,100
629336240511,2629336.713,1240512.192,430.508,100
629305240537,2629305.772,1240538.023,429.343,100
629239240321,2629240.166,1240322.071,432.599,100
6005491,2629542.446,1240346.300,437.313,100
629727240294,2629727.872,1240295.285,443.109,100
629733240283,2629734.384,1240284.338,443.356,100
629736240289,2629736.703,1240289.366,443.366,100
629734240291,2629734.739,1240291.709,443.261,100
629717240285,2629718.185,1240286.126,443.119,100
629696240271,2629697.067,1240272.279,443.794,100
629696240267,2629697.413,1240267.976,443.794,100
629684240261,2629684.645,1240261.391,444.166,100
6005514,2629685.634,1240257.687,444.128,100
629682240254,2629682.717,1240255.152,444.223,100
629679240257,2629680.472,1240257.753,444.289,100
629944240307,2629944.679,1240307.680,436.806,100
630048240246,2630048.802,1240247.114,438.623,100
6005409,2630054.348,1240244.664,438.587,100
630061240250,2630061.474,1240250.871,438.680,100
6005405,2629717.848,1240162.515,444.903,100
629716240160,2629716.940,1240160.446,444.847,100
629710240169,2629710.684,1240170.299,445.387,100
6005201,2629583.848,1240151.092,441.424,100
629556240180,2629557.111,1240181.103,442.066,100
629555240173,2629556.074,1240173.524,442.117,100
6005196,2629308.753,1240207.973,436.275,100
6005481,2629303.533,1240218.304,436.045,100
629308240219,2629309.183,1240220.045,435.961,100
630457239633,2630458.000,1239633.834,427.691,100
630448239632,2630448.511,1239632.350,427.628,100
11085480,2630908.862,1240356.932,450.830,100
630908240355,2630909.438,1240356.144,451.029,100
6005017,2629448.077,1241607.646,426.710,100
629437241609,2629438.182,1241609.248,426.489,100
629429241605,2629430.438,1241606.097,427.036,100
6005542,2629802.763,1241675.794,425.730,100
6005535,2628952.748,1241643.231,428.949,100
6005096,2630513.763,1240729.310,440.856,100
630689239656,2630689.895,1239656.501,424.996,100
630678239647,2630678.827,1239648.196,425.089,100
6005134,2629928.498,1239567.986,429.095,100
10888350,2637077.423,1245609.106,386.393,100
11084590,2629739.349,1238666.886,428.374,100
629540240347,2629540.933,1240348.041,437.189,100
629545240348,2629546.200,1240348.861,437.363,100
629544240349,2629545.164,1240349.919,437.281,100
629566240156,2629567.300,1240156.620,441.756,100
629567240160,2629567.697,1240160.470,441.871,100
629570240164,2629571.264,1240165.210,441.799,100
629715240175,2629715.843,1240175.442,445.518,100
629717240172,2629718.165,1240172.891,445.426,100
629714240177,2629715.391,1240178.024,445.661,100
629716240182,2629717.336,1240182.830,445.954,100
629706240174,2629706.786,1240174.605,445.570,100
6005515,2629724.585,1240294.921,443.060,100
629719240292,2629720.511,1240292.809,443.044,100
629717240290,2629718.372,1240290.951,443.099,100
629731240286,2629732.286,1240286.820,443.232,100
629925240296,2629926.007,1240296.842,436.750,100
6005529,2629921.777,1240296.147,436.739,100
629932240306,2629933.495,1240306.964,436.642,100
6005404,2629707.098,1240477.894,434.275,100
629708240474,2629708.692,1240474.908,434.415,100
6005061,2629278.588,1240734.677,428.614,100
629415240611,2629416.285,1240612.245,429.777,100
629416240602,2629416.490,1240603.027,429.883,100
629551240586,2629552.063,1240586.397,431.967,100
6005341,2629530.094,1240565.246,432.541,100
629561240604,2629561.684,1240604.828,431.442,100
6005403,2629660.555,1240535.043,432.412,100
629660240536,2629661.467,1240536.357,432.553,100
629620240492,2629621.052,1240492.774,433.096,100
6005454,2629615.386,1240494.643,432.960,100
6005406,2629754.933,1240430.120,434.523,100
6005444,2629812.516,1240383.915,435.129,100
6005407,2629888.701,1240338.023,436.264,100
629887240337,2629887.946,1240337.863,436.363,100
6004038,2629610.756,1240313.667,440.483,100
629609240312,2629610.305,1240312.920,440.468,100
629604240314,2629605.279,1240315.255,440.343,100
629604240316,2629605.323,1240316.699,440.342,100
629603240317,2629604.419,1240317.737,440.193,100
6005512,2629656.761,1240351.466,438.746,100
6005456,2629715.745,1240392.834,435.294,100
6005397,2629774.559,1240036.113,435.385,100
6005282,2629890.327,1239757.611,428.639,100
630256239784,2630257.255,1239785.184,426.856,100
6005272,2629976.228,1240224.230,439.841,100
6005271,2629905.036,1240201.775,443.120,100
6005270,2629830.647,1240176.437,447.376,100
6005269,2629753.731,1240141.877,444.907,100
629607240107,2629607.696,1240107.976,437.687,100
629607240114,2629608.269,1240114.739,438.534,100
629614240116,2629614.599,1240116.628,438.566,100
629621240114,2629622.460,1240115.001,438.321,100
6005200,2629529.956,1240202.732,442.048,100
629528240212,2629528.592,1240213.133,441.889,100
629522240218,2629523.195,1240219.185,441.804,100
629469240280,2629470.270,1240280.979,438.784,100
629469240285,2629470.326,1240285.538,438.573,100
629475240284,2629476.131,1240285.092,438.484,100
629477240271,2629477.949,1240272.274,439.104,100
629475240312,2629476.351,1240312.312,437.165,100
629476240403,2629477.094,1240403.486,434.303,100
629471240404,2629471.767,1240404.799,434.323,100
6005339,2629473.703,1240399.458,434.464,100
6005458,2629423.963,1240476.292,433.023,100
6005392,2629369.846,1240515.399,430.638,100
6005198,2629467.358,1240359.771,435.004,100
629464240356,2629464.949,1240356.958,435.267,100
6005482,2629385.250,1240293.083,435.211,100
6005387,2629431.336,1240229.831,438.747,100
629486240165,2629487.009,1240166.091,440.349,100
6005398,2629683.707,1240050.979,433.272,100

