Name         | AC   |           Y |           X |        H |    AH |  MM |   sYX |    sH |              Zeit | Epoch | SV | RMS | PDOP | HDOP | VDOP |  KL | 
11084040     | 100  | 2629290.590 | 1241230.208 |  427.584 | 2.000 |  UA | 0.009 | 0.013 | 20.02.14 09:21:59 |    11 | 12 |  14 |  1.9 |  1.1 |  1.5 | NFX | 
6005014      | 100  | 2629554.320 | 1241381.802 |  426.900 | 2.000 |  UA | 0.009 | 0.013 | 20.02.14 09:32:02 |    11 | 13 |  18 |  1.8 |  1.0 |  1.5 | NFX | 
629535241119 | 100  | 2629536.175 | 1241119.718 |  427.243 | 2.000 |  UA | 0.009 | 0.012 | 20.02.14 09:40:34 |    11 | 15 |  24 |  1.2 |  0.7 |  1.0 | NFX | 
629761241132 | 100  | 2629761.885 | 1241132.931 |  427.379 | 2.000 |  UA | 0.010 | 0.015 | 20.02.14 09:53:01 |    11 | 14 |  26 |  1.4 |  0.8 |  1.2 | NFX | 
6005499      | 100  | 2629768.787 | 1241131.187 |  427.195 | 2.000 |  UA | 0.008 | 0.011 | 20.02.14 09:54:50 |    11 | 15 |  22 |  1.3 |  0.7 |  1.1 | NFX | 
6005443      | 100  | 2629930.448 | 1241119.453 |  426.856 | 2.000 |  UA | 0.007 | 0.011 | 20.02.14 10:01:43 |    11 | 16 |  21 |  1.3 |  0.7 |  1.1 | NFX | 
6005522      | 100  | 2629956.241 | 1241333.694 |  426.215 | 2.000 |  UA | 0.008 | 0.012 | 20.02.14 10:08:42 |    11 | 14 |  17 |  1.5 |  0.8 |  1.2 | NFX | 
6005087      | 100  | 2630170.828 | 1241105.222 |  426.265 | 2.000 |  UA | 0.007 | 0.011 | 20.02.14 10:17:16 |    11 | 16 |  20 |  1.4 |  0.7 |  1.2 | NFX | 
630161240908 | 100  | 2630162.461 | 1240909.093 |  426.965 | 2.000 |  UA | 0.007 | 0.011 | 20.02.14 10:21:29 |    11 | 17 |  19 |  1.3 |  0.7 |  1.1 | NFX | 
6005216      | 100  | 2630160.279 | 1240906.562 |  426.968 | 2.000 |  UA | 0.007 | 0.011 | 20.02.14 10:24:46 |    11 | 17 |  21 |  1.3 |  0.7 |  1.1 | NFX | 
6005213      | 100  | 2629918.719 | 1240917.692 |  427.798 | 2.000 |  UA | 0.007 | 0.011 | 20.02.14 10:30:27 |    11 | 17 |  18 |  1.3 |  0.7 |  1.1 | NFX | 
6005422      | 100  | 2629741.523 | 1240946.410 |  427.049 | 2.000 |  UA | 0.007 | 0.012 | 20.02.14 10:34:05 |    11 | 15 |  15 |  1.5 |  0.7 |  1.3 | NFX | 
629746240945 | 100  | 2629746.978 | 1240945.982 |  427.013 | 2.000 |  UA | 0.007 | 0.012 | 20.02.14 10:34:58 |    11 | 15 |  17 |  1.5 |  0.7 |  1.4 | NFX | 
